,AUC,low_ci,high_ci,sd,cond,sid,sidc,ord
SID#16,0.843095068,0.7695999,0.90508915,0.041120484,high,16,SID#16,21
SID#50,0.834344347,0.760382,0.89933105,0.042097581,high,50,SID#50,19
SID#51,0.757318699,0.675987,0.83554845,0.048608025,high,51,SID#51,17
SID#19,0.588720666,0.4834341,0.6865247,0.061698586,high,19,SID#19,7
SID#20,0.5840824,0.4867135,0.67881685,0.05817358,high,20,SID#20,6
SID#21,0.541018886,0.43550315,0.65267235,0.066256379,high,21,SID#21,2
SID#22,0.559759968,0.4530333,0.6621785,0.063844849,high,22,SID#22,4
SID#23,0.640682821,0.5451173,0.73195425,0.055408851,high,23,SID#23,9
SID#24,0.542472812,0.4382991,0.64766185,0.063866136,high,24,SID#24,3
SID#25,0.74233204,0.63775785,0.83948505,0.061983643,high,25,SID#25,15
SID#26,0.840643499,0.76575615,0.9070622,0.043705425,high,26,SID#26,20
SID#27,0.754320737,0.66146365,0.84134185,0.053738678,high,27,SID#27,16
SID#28,0.714851887,0.6229748,0.80331505,0.05423668,high,28,SID#28,13
SID#29,0.694100496,0.609127,0.7792554,0.052285027,high,29,SID#29,12
SID#30,0.663953601,0.577381,0.75406045,0.053108383,high,30,SID#30,11
SID#32,0.499639534,0.40706395,0.5942939,0.057143885,high,32,SID#32,1
SID#33,0.571607147,0.477606,0.65757805,0.05348975,high,33,SID#33,5
SID#41,0.602104577,0.4966972,0.69846935,0.061886802,high,41,SID#41,8
SID#34,0.765757777,0.67621215,0.85040835,0.053210688,high,34,SID#34,18
SID#35,0.655451957,0.56960415,0.74468915,0.052859998,high,35,SID#35,10
SID#36,0.724665917,0.6314799,0.811455,0.054521476,high,36,SID#36,14
SID#16,0.845208093,0.7665761,0.91237645,0.045070887,low,16,SID#16,21
SID#50,0.835887327,0.75774495,0.9046886,0.045875046,low,50,SID#50,19
SID#51,0.758209311,0.676576,0.840174,0.051860478,low,51,SID#51,17
SID#19,0.585156954,0.4799018,0.6804715,0.062224799,low,19,SID#19,7
SID#20,0.579536004,0.4810573,0.6786438,0.060240584,low,20,SID#20,6
SID#21,0.66024644,0.56307315,0.7584477,0.060838333,low,21,SID#21,2
SID#22,0.555739504,0.45224885,0.6646985,0.063882309,low,22,SID#22,4
SID#23,0.63678442,0.5420031,0.7221692,0.055790315,low,23,SID#23,9
SID#24,0.52281785,0.41544455,0.62435415,0.062432644,low,24,SID#24,3
SID#25,0.738690796,0.63502165,0.83043675,0.060660476,low,25,SID#25,15
SID#26,0.839464466,0.75680115,0.91271095,0.046850454,low,26,SID#26,20
SID#27,0.668963948,0.5798675,0.7523609,0.05243194,low,27,SID#27,16
SID#28,0.668963948,0.5798675,0.7523609,0.05243194,low,28,SID#28,13
SID#29,0.705471366,0.6181848,0.7921722,0.052208716,low,29,SID#29,12
SID#30,0.66444331,0.573754,0.7520089,0.054037938,low,30,SID#30,11
SID#32,0.50030849,0.4066911,0.59325905,0.058359179,low,32,SID#32,1
SID#33,0.573068135,0.47499745,0.6654504,0.05900971,low,33,SID#33,5
SID#41,0.611071592,0.50062605,0.71550305,0.068224372,low,41,SID#41,8
SID#34,0.731166647,0.6373398,0.81971885,0.055554077,low,34,SID#34,18
SID#35,0.704879013,0.61803555,0.7916889,0.052979364,low,35,SID#35,10
SID#36,0.731070754,0.6398181,0.80999945,0.052777266,low,36,SID#36,14
